Timestamp,scenario,forecast_avg_load,forecast_peak_load
2026-05-01,baseline,1544.1216107591847,2124.583645333333
2026-06-01,baseline,1481.3877075819498,2067.3094044688105
2026-07-01,baseline,1463.562320452625,2055.6454675389323
2026-08-01,baseline,1455.0357743490163,2016.4894969147754
2026-09-01,baseline,1444.7133741573853,1996.057092754416
2026-10-01,baseline,1415.479991563097,1974.3543534835771
2026-11-01,baseline,1430.9005309088257,2020.8026353627731
2026-12-01,baseline,1392.0721209808025,2027.2955509490919
2027-01-01,baseline,1418.7989481634531,2033.9262482395623
2027-02-01,baseline,1434.828313054996,1994.5980559158074
2027-03-01,baseline,1570.8759253197074,2146.9655257825398
2027-04-01,baseline,1576.168679024674,2124.294923868226
2027-05-01,baseline,1571.91579975285,2162.826150949333
2027-06-01,baseline,1508.052686318425,2104.5209737492496
2027-07-01,baseline,1489.9064422207723,2092.6470859546334
2027-08-01,baseline,1481.2264182872987,2052.786307859242
2027-09-01,baseline,1470.7182148922184,2031.9861204239958
2027-10-01,baseline,1440.9586314112328,2009.8927318462818
2027-11-01,baseline,1456.6567404651844,2057.177082799303
2027-12-01,baseline,1417.129419158457,2063.786870866176
2028-01-01,baseline,1444.3373292303952,2070.5369207078747
2028-02-01,baseline,1460.655222689986,2030.5008209222922
2028-03-01,baseline,1599.1516919754624,2185.610905246626
2028-04-01,baseline,1604.5397152471182,2162.5322324978542
2028-05-01,baseline,1600.2102841484013,2201.757021666421
2025-06-01,high_demand,1573.7802651892962,2196.24526796154
2025-07-01,high_demand,1556.9904882992575,2186.869937512306
2025-08-01,high_demand,1550.057438990386,2148.1771104474433
2025-09-01,high_demand,1541.1864945320058,2129.3471000516934
2025-10-01,high_demand,1512.0864345228383,2109.103945402218
2025-11-01,high_demand,1530.6704855546918,2161.7036853821874
2025-12-01,high_demand,1491.1913655122917,2171.644396402979
2026-01-01,high_demand,1521.9202064548867,2181.7562380079753
2026-02-01,high_demand,1541.2402570753272,2142.5245044936587
2026-03-01,high_demand,1689.7080426213477,2309.377117360305
2026-04-01,high_demand,1697.7426596505873,2288.1473042352122
2026-05-01,high_demand,1695.5001340929437,2332.8679752
2026-06-01,high_demand,1628.8625744709213,2273.1138523401937
2026-07-01,high_demand,1611.4851553897313,2263.4103853252363
2026-08-01,high_demand,1604.3094493550489,2223.3633093131034
2026-09-01,high_demand,1595.1280218406257,2203.874248553502
2026-10-01,high_demand,1565.0094597311374,2182.9225834912954
2026-11-01,high_demand,1584.2439525491059,2237.363314370564
2026-12-01,high_demand,1543.3830633052216,2247.6519502770834
2027-01-01,high_demand,1575.1874136808076,2258.1177063382543
2027-02-01,high_demand,1595.1836660729637,2217.512862150936
2027-03-01,high_demand,1748.8478241130945,2390.2053164679155
2027-04-01,high_demand,1757.1636527383578,2368.232459883445
2027-05-01,high_demand,1754.8426387861966,2414.5183543319995
2027-06-01,high_demand,1685.8727645774034,2352.6728371721
2027-07-01,high_demand,1667.8871358283716,2342.6297488116193
2027-08-01,high_demand,1660.4602800824757,2301.181025139062
2027-09-01,high_demand,1650.957502605048,2281.0098472528753
2027-10-01,high_demand,1619.784790821727,2259.3248739134906
2027-11-01,high_demand,1639.6924908883243,2315.6710303735335
2027-12-01,high_demand,1597.4014705209045,2326.3197685367813
2028-01-01,high_demand,1630.3189731596356,2337.151826060093
2028-02-01,high_demand,1651.0150943855172,2295.1258123262187
2028-03-01,high_demand,1810.0574979570526,2473.8625025442925
2028-04-01,high_demand,1818.6643805842,2451.120595979365
2028-05-01,high_demand,1816.2621311437133,2499.0264967336198
